id,"nombre","nombrecorrecto",idip,"nombreviejo",idp,year,"foto","link","bloque","region","distrito",idprov
826,"PASTORIZA, Mirta Ameliana","PASTORIZA, Mirta Ameliana",425,NULL,-0.105093363976169,2008,"mpastoriza_medium.jpg","http://s6.postimage.org/yzx02bpz1/mpastoriza_medium.jpg","FRENTE CIVICO POR SANTIAGO","NOROESTE","SANTIAGO DEL ESTERO",86
827,"PERALTA, Fabian Francisco","PERALTA, Fabián Francisco",426,NULL,1.42994383198661,2008,"fperalta_medium.jpg","http://s6.postimage.org/xd2qjz7lp/fperalta_medium.jpg","GEN","CENTRO","SANTA FE",82
828,"PEREYRA, Guillermo Antonio","PEREYRA, Guillermo Antonio",427,NULL,-0.782651525025971,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","PARTIDO JUSTICIALISTA","CUYO","MENDOZA",50
829,"PEREZ, Adrian","PEREZ, Adrián",428,NULL,1.69996001870157,2008,"pereza.jpg","http://s6.postimage.org/f5oqlfewx/pereza.jpg","COALICION CIVICA - ARI","BUENOS AIRES","BUENOS AIRES",6
830,"PEREZ, Jorge Raul","PEREZ, Jorge Raúl",431,NULL,-0.0597326453041339,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE CIVICO POR SANTIAGO","NOROESTE","SANTIAGO DEL ESTERO",86
831,"PERIE, Hugo Ruben","PERIE, Hugo Rubén",434,NULL,-0.792367817614981,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","PARTIDO JUSTICIALISTA","NORESTE","CORRIENTES",18
832,"PERIE, Julia Argentina","PERIE, Julia Argentina",435,NULL,-1.36175512630363,2008,"jperie_medium.jpg","http://s6.postimage.org/7498bmtz1/jperie_medium.jpg","FRENTE PARA LA VICTORIA - PJ","NORESTE","MISIONES",54
833,"PETIT, Maria de los Angeles","PETIT, María de los Angeles",439,NULL,0.166030902730215,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","NORESTE","ENTRE RIOS",30
834,"PINEDO, Federico","PINEDO, Federico",443,NULL,1.16198932266454,2008,"fpinedo_medium.jpg","http://s6.postimage.org/bmpb8ye65/fpinedo_medium.jpg","PRO","CABA","CIUDAD de BUENOS AIRES",2
835,"POGGI, Claudio Javier","POGGI, Claudio Javier",447,NULL,0.524011142274656,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","PARTIDO JUSTICIALISTA","CUYO","SAN LUIS",74
836,"PORTELA, Agustin Alberto","PORTELA, Agustín Alberto",448,NULL,1.19594718321821,2008,"aportela_medium.jpg","http://s6.postimage.org/vqquklirh/aportela_medium.jpg","UNION CIVICA RADICAL","NORESTE","CORRIENTES",18
